        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 CPD SPI entry       |                       | 0001C470 | 00000044 | 93518E3A | ------ PMCC000
 CPD SPI entry       |                       | 0001C4B4 | 00000044 | C5939512 | ------ FIVR
 CPD SPI entry       |                       | 0001C4F8 | 00000044 | A51E81F6 | ------ ERTABLE
 CPD SPI entry       |                       | 0001C53C | 00000044 | 0BCEFD0F | ------ ConstDat
 CPD extension       |                       | 0001C5B4 | 00000068 | E4FE81E4 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 0001C61C | 00000048 | E88630B6 | ---- PMCC000.met
 CPD extension       |                       | 0001C61C | 00000048 | E88630B6 | ----- Module Attributes
 CPD partition       | Metadata              | 0001C664 | 00000048 | C6AD941C | ---- FIVR.met
 CPD extension       |                       | 0001C664 | 00000048 | C6AD941C | ----- Module Attributes
 CPD partition       | Metadata              | 0001C6AC | 00000048 | F1847D84 | ---- ERTABLE.met
 CPD extension       |                       | 0001C6AC | 00000048 | F1847D84 | ----- Module Attributes
 CPD partition       | Metadata              | 0001C6F4 | 00000048 | FB50C72D | ---- ConstDat.met
 CPD extension       |                       | 0001C6F4 | 00000048 | FB50C72D | ----- Module Attributes
 Padding             | Empty (FFh)           | 0001C73C | 00000004 | FFFFFFFF | ---- Padding
 CPD partition       | Code                  | 0001C740 | 00019098 | D1505E07 | ---- PMCC000
 Padding             | Empty (FFh)           | 000357D8 | 00000028 | 8CD04C73 | ---- Padding
 CPD partition       | Code                  | 00035800 | 0000AD04 | FE083524 | ---- FIVR
 Padding             | Empty (FFh)           | 00040504 | 0000003C | F48CF14D | ---- Padding
 CPD partition       | Code                  | 00040540 | 00000F74 | 7E7C5459 | ---- ERTABLE
 Padding             | Empty (FFh)           | 000414B4 | 0000000C | BB99FF8A | ---- Padding
 CPD partition       | Code                  | 000414C0 | 00000694 | 0E743AF4 | ---- ConstDat
 Padding             | Empty (FFh)           | 00041B54 | 0001A4AC | 1622E279 | ---- Padding
 BPDT partition      |                       | 0005C000 | 00125000 | B54D9B81 | --- Bring Up | Bring Up
 CPD store           |                       | 0005C000 | 000002CC | B1EB2DA6 | ---- CPD partition table
 CPD entry           |                       | 0005C014 | 00000018 | 60862DA7 | ----- FTPR.man
 CPD entry           |                       | 0005C02C | 00000018 | 9901C8FD | ----- rot.key
 CPD entry           |                       | 0005C044 | 00000018 | 89BDFA03 | ----- fitc.cfg
 CPD entry           |                       | 0005C05C | 00000018 | D4C0C2C7 | ----- kernel
 CPD entry           |                       | 0005C074 | 00000018 | 58424609 | ----- syslib
 CPD entry           |                       | 0005C08C | 00000018 | E81FABD5 | ----- bup
 CPD entry           |                       | 0005C0A4 | 00000018 | 55DC2C0E | ----- intl.cfg
 CPD entry           |                       | 0005C0BC | 00000018 | DE686949 | ----- intl.cfg.met
 CPD entry           |                       | 0005C0D4 | 00000018 | D8CF2204 | ----- pm
 CPD entry           |                       | 0005C0EC | 00000018 | C9CE26EF | ----- vfs
 CPD entry           |                       | 0005C104 | 00000018 | 84D6EC3C | ----- evtdisp
 CPD entry           |                       | 0005C11C | 00000018 | 486A6609 | ----- loadmgr
 CPD entry           |                       | 0005C134 | 00000018 | 182D102D | ----- busdrv
 CPD entry           |                       | 0005C14C | 00000018 | 13EE0ECE | ----- prtc
 CPD entry           |                       | 0005C164 | 00000018 | 5E869882 | ----- smbus
 CPD entry           |                       | 0005C17C | 00000018 | F0B68CA9 | ----- crypto
 CPD entry           |                       | 0005C194 | 00000018 | 589C4821 | ----- fpf
 CPD entry           |                       | 0005C1AC | 00000018 | 439708EA | ----- storage
 CPD entry           |                       | 0005C1C4 | 00000018 | AE0B4FA6 | ----- gpio
 CPD entry           |                       | 0005C1DC | 00000018 | 6B67BBA5 | ----- ipc_drv
 CPD entry           |                       | 0005C1F4 | 00000018 | 2634D254 | ----- sec_msg
 CPD entry           |                       | 0005C20C | 00000018 | A4795F41 | ----- policy
 CPD entry           |                       | 0005C224 | 00000018 | 389E1226 | ----- heci
 CPD entry           |                       | 0005C23C | 00000018 | BCABD02D | ----- pmdrv
 CPD entry           |                       | 0005C254 | 00000018 | 680145EE | ----- maestro
 CPD entry           |                       | 0005C26C | 00000018 | 204A1842 | ----- fwupdate
 CPD entry           |                       | 0005C284 | 00000018 | 51399D9A | ----- ptt
 CPD entry           |                       | 0005C29C | 00000018 | A828F01A | ----- mca_boot
 CPD entry           |                       | 0005C2B4 | 00000018 | 27BD6F38 | ----- mca_srv
 CPD partition       | Manifest              | 0005C2CC | 00000580 | 7F058EEF | ---- FTPR.man
 CPD extension       |                       | 0005C650 | 000000D4 | 785F506C | ----- System Info
 CPD extension       |                       | 0005C724 | 00000030 | FAC6B8F7 | ----- Client System Info
 CPD extension       |                       | 0005C754 | 00000018 | E51A2BB6 | ----- Feature Permissions
 CPD extension       |                       | 0005C76C | 00000078 | A820FFDF | ----- Signed Package Info
 CPD SPI entry       |                       | 0005C76C | 00000044 | 05A5FBC2 | ------ intl.cfg
 CPD extension       |                       | 0005C7E4 | 00000068 | 51E6A586 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 0005C84C | 00000048 | 527724D3 | ---- intl.cfg.met
 CPD extension       |                       | 0005C84C | 00000048 | 527724D3 | ----- Module Attributes
 Padding             | Empty (FFh)           | 0005C894 | 0000076C | CF867314 | ---- Padding
 CPD partition       | Code                  | 0005D000 | 000007EC | 12A07BA3 | ---- rot.key
 Padding             | Empty (FFh)           | 0005D7EC | 00000814 | 03B7034E | ---- Padding
 CPD partition       | Code                  | 0005E000 | 00013000 | 356CB7D1 | ---- kernel
 CPD partition       | Code                  | 00071000 | 0001C000 | 3A411D14 | ---- syslib
 CPD partition       | Code                  | 0008D000 | 00038000 | 0EAC51FD | ---- bup
 CPD partition       | Code                  | 000C5000 | 00004BDA | E9B49CA0 | ---- intl.cfg
 Padding             | Empty (FFh)           | 000C9BDA | 00000426 | 60D7296D | ---- Padding
 CPD partition       | Code                  | 000CA000 | 00003000 | 5BE97691 | ---- pm
 CPD partition       | Code                  | 000CD000 | 00011000 | 05C2C355 | ---- vfs
 CPD partition       | Code                  | 000DE000 | 00003000 | 8BF8AFFE | ---- evtdisp
 CPD partition       | Code                  | 000E1000 | 00005000 | EDA86A46 | ---- loadmgr
 CPD partition       | Code                  | 000E6000 | 00002000 | 71B45735 | ---- busdrv
 CPD partition       | Code                  | 000E8000 | 00001000 | 95E4C6BD | ---- prtc
 CPD partition       | Code                  | 000E9000 | 00002075 | E6C3FBE6 | ---- smbus
 Padding             | Empty (FFh)           | 000EB075 | 00000F8B | DDBCBD14 | ---- Padding
 CPD partition       | Code                  | 000EC000 | 00026000 | F91AD8EE | ---- crypto
 CPD partition       | Code                  | 00112000 | 00004000 | 7A65AE30 | ---- fpf
 CPD partition       | Code                  | 00116000 | 0000C840 | 499E0EB3 | ---- storage
 CPD partition       | Code                  | 00122840 | 00001840 | CFC14C28 | ---- gpio
 CPD partition       | Code                  | 00124080 | 00002600 | 19AAA53B | ---- ipc_drv
 CPD partition       | Code                  | 00126680 | 000008C0 | F3741E6D | ---- sec_msg
 CPD partition       | Code                  | 00126F40 | 00005E80 | C7A8FFC0 | ---- policy
 CPD partition       | Code                  | 0012CDC0 | 00006280 | 0FD68E94 | ---- heci
 CPD partition       | Code                  | 00133040 | 00001D80 | 20C32B73 | ---- pmdrv
 CPD partition       | Code                  | 00134DC0 | 00002700 | 349E8CAE | ---- maestro
 CPD partition       | Code                  | 001374C0 | 00006180 | BF09DC90 | ---- fwupdate
 CPD partition       | Code                  | 0013D640 | 0001D140 | 541CACB1 | ---- ptt
 CPD partition       | Code                  | 0015A780 | 00002640 | B53E74FB | ---- mca_boot
 CPD partition       | Code                  | 0015CDC0 | 00008000 | C78E5072 | ---- mca_srv
 Padding             | Empty (FFh)           | 00164DC0 | 0001C240 | 169B3159 | ---- Padding
 BPDT partition      |                       | 00181000 | 00001000 | EF34E9D4 | --- OEM Key Manifest | OEM Key Manifest
 CPD store           |                       | 00181000 | 0000002C | 21A11853 | ---- CPD partition table
 CPD entry           |                       | 00181014 | 00000018 | 0F861959 | ----- OEMP.man
 CPD partition       | Manifest              | 0018102C | 00000498 | 87228FAA | ---- OEMP.man
 CPD extension       |                       | 001813B0 | 00000034 | C12EB570 | ----- Signed Package Info
 CPD extension       |                       | 001813E4 | 00000068 | F904BA76 | ----- IFWI Partition Manifest
 CPD extension       |                       | 0018144C | 00000078 | E8F17B79 | ----- Key Manifest
 Padding             | Empty (FFh)           | 001814C4 | 00000B3C | 47E2624E | ---- Padding
 BPDT partition      |                       | 00182000 | 00012000 | 556CC025 | --- TCSS FW IOM | TCSS FW IOM
 CPD store           |                       | 00182000 | 0000008C | 93F000DF | ---- CPD partition table
 CPD entry           |                       | 00182014 | 00000018 | 82A66EDB | ----- IOMP.man
 CPD entry           |                       | 0018202C | 00000018 | A8B259F7 | ----- iom.met
 CPD entry           |                       | 00182044 | 00000018 | 6026192C | ----- iom
 CPD entry           |                       | 0018205C | 00000018 | E8F69993 | ----- iom.cd
 CPD entry           |                       | 00182074 | 00000018 | C844AE99 | ----- iom.hwcd
 CPD partition       | Manifest              | 0018208C | 00000464 | 25B6E4BB | ---- IOMP.man
 CPD extension       |                       | 00182410 | 00000078 | 32771BF1 | ----- Signed Package Info
 CPD SPI entry       |                       | 00182410 | 00000044 | 3463FFFF | ------ iom.met
 CPD extension       |                       | 00182488 | 00000068 | E54593B3 | ----- IFWI Partition Manifest
 Padding             | Empty (FFh)           | 001824F0 | 00000010 | 3FB3C61A | ---- Padding
 CPD partition       | Metadata              | 00182500 | 000000C0 | 45191D3F | ---- iom.met
 CPD extension       |                       | 00182500 | 000000C0 | 45191D3F | ----- IOM Metadata
 CPD partition       | Code                  | 001825C0 | 00010D5C | 68B24B26 | ---- iom
 Padding             | Empty (FFh)           | 0019331C | 00000024 | 19990159 | ---- Padding
 CPD partition       | Code                  | 00193340 | 000005AC | DBD6AC45 | ---- iom.cd
 Padding             | Empty (FFh)           | 001938EC | 00000014 | 2CF772B0 | ---- Padding
 CPD partition       | Code                  | 00193900 | 0000003C | FDC4B613 | ---- iom.hwcd
 Padding             | Empty (FFh)           | 0019393C | 000006C4 | 35F9C6AC | ---- Padding
 BPDT partition      |                       | 00194000 | 00010000 | F44A6608 | --- TCSS FW PHY | TCSS FW PHY
 CPD store           |                       | 00194000 | 0000005C | B6E77BF4 | ---- CPD partition table
 CPD entry           |                       | 00194014 | 00000018 | 69D14CAC | ----- NPHY.man
 CPD entry           |                       | 0019402C | 00000018 | 27FA7762 | ----- nphy.met
 CPD entry           |                       | 00194044 | 00000018 | 933148A0 | ----- nphy
 CPD partition       | Manifest              | 0019405C | 00000464 | C615366E | ---- NPHY.man
 CPD extension       |                       | 001943E0 | 00000078 | A9A8D4EB | ----- Signed Package Info
 CPD SPI entry       |                       | 001943E0 | 00000044 | F1593EE7 | ------ nphy.met
 CPD extension       |                       | 00194458 | 00000068 | 595F8447 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 001944C0 | 00000048 | 81F823B8 | ---- nphy.met
 CPD extension       |                       | 001944C0 | 00000048 | 81F823B8 | ----- MGP Metadata
 Padding             | Empty (FFh)           | 00194508 | 00000038 | D8BBABFB | ---- Padding
 CPD partition       | Code                  | 00194540 | 0000E480 | 4E308F75 | ---- nphy
 Padding             | Empty (FFh)           | 001A29C0 | 00001640 | 2BBC19FA | ---- Padding
 BPDT partition      |                       | 001A4000 | 0004C000 | EED4C2C6 | --- TCSS TBT | TCSS TBT
 CPD store           |                       | 001A4000 | 0000005C | 0F662056 | ---- CPD partition table
 CPD entry           |                       | 001A4014 | 00000018 | 0755E32C | ----- TBTP.man
 CPD entry           |                       | 001A402C | 00000018 | 60097853 | ----- tbt.met
 CPD entry           |                       | 001A4044 | 00000018 | 9346D24C | ----- tbt
 CPD partition       | Manifest              | 001A405C | 00000464 | 2A310EE6 | ---- TBTP.man
 CPD extension       |                       | 001A43E0 | 00000078 | 8AD8A9EC | ----- Signed Package Info
 CPD SPI entry       |                       | 001A43E0 | 00000044 | 7939CB72 | ------ tbt.met
 CPD extension       |                       | 001A4458 | 00000068 | 08CDB6A5 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 001A44C0 | 00000048 | E9973339 | ---- tbt.met
 CPD extension       |                       | 001A44C0 | 00000048 | E9973339 | ----- TBT Metadata
 Padding             | Empty (FFh)           | 001A4508 | 00000038 | D8BBABFB | ---- Padding
 CPD partition       | Code                  | 001A4540 | 0003F000 | 25AFD31A | ---- tbt
 Padding             | Empty (FFh)           | 001E3540 | 0000CAC0 | 3207A41D | ---- Padding
 BPDT partition      |                       | 001F0000 | 00001000 | 2765E507 | --- PCH Config | PCH Config
 CPD store           |                       | 001F0000 | 0000005C | 3C283A57 | ---- CPD partition table
 CPD entry           |                       | 001F0014 | 00000018 | 89CFF8E9 | ----- PCHC.man
 CPD entry           |                       | 001F002C | 00000018 | BAA8D676 | ----- IntelRec
 CPD entry           |                       | 001F0044 | 00000018 | 71DD4C0C | ----- IntelRec.met
 CPD partition       | Manifest              | 001F005C | 00000464 | 7CBAEA8E | ---- PCHC.man
 CPD extension       |                       | 001F03E0 | 00000078 | BDF25474 | ----- Signed Package Info
 CPD SPI entry       |                       | 001F03E0 | 00000044 | 9E618E8B | ------ IntelRec
 CPD extension       |                       | 001F0458 | 00000068 | C5F310F0 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 001F04C0 | 00000048 | 382F5067 | ---- IntelRec.met
 CPD extension       |                       | 001F04C0 | 00000048 | 382F5067 | ----- Module Attributes
 Padding             | Empty (FFh)           | 001F0508 | 00000038 | D8BBABFB | ---- Padding
 CPD partition       | Code                  | 001F0540 | 00000298 | 27B9416F | ---- IntelRec
 Padding             | Empty (FFh)           | 001F07D8 | 00000828 | CC9B4C21 | ---- Padding
 IFWI partition      | Data                  | 001F1000 | 00088000 | 4CC10DF8 | -- Data partition
 FPT store           |                       | 001F1000 | 00000180 | 6A155EEE | --- FPT partition table
 FPT entry           | Valid                 | 001F1020 | 00000020 | EDF5726E | ---- PSVN
 FPT entry           | Valid                 | 001F1040 | 00000020 | 837F04A5 | ---- UEP
 FPT entry           | Valid                 | 001F1060 | 00000020 | D52B2EFD | ---- IVBP
 FPT entry           | Valid                 | 001F1080 | 00000020 | FD9C70AA | ---- MFS
 FPT entry           | Valid                 | 001F10A0 | 00000020 | 3A6B7B36 | ---- UTOK
 FPT entry           | Valid                 | 001F10C0 | 00000020 | 238FA702 | ---- HVMP
 FPT entry           | Valid                 | 001F10E0 | 00000020 | 89F16423 | ---- FLOG
 FPT entry           | Valid                 | 001F1100 | 00000020 | DCE3AE92 | ---- EFS
 FPT entry           | Valid                 | 001F1120 | 00000020 | EA7D72B5 | ---- RSTR
 FPT entry           | Valid                 | 001F1140 | 00000020 | F75DC5DD | ---- IMDP
 FPT entry           | Valid                 | 001F1160 | 00000020 | 3A284504 | ---- FITC
 Padding             | Empty (FFh)           | 001F1180 | 00000DC0 | B2568390 | --- Padding
 FPT partition       | Data                  | 001F1F40 | 00000040 | 027688DB | --- IMDP
 FPT partition       | Data                  | 001F1F80 | 00000018 | 01C6463A | --- RSTR
 Padding             | Empty (FFh)           | 001F1F98 | 00000028 | 8CD04C73 | --- Padding
 FPT partition       | Data                  | 001F1FC0 | 0000000C | 63D7E458 | --- HVMP
 Padding             | Empty (FFh)           | 001F1FCC | 00000034 | EB6F5BB4 | --- Padding
 FPT partition       | Data                  | 001F2000 | 00008000 | B2A1BEE6 | --- FITC
 FPT partition       | Data                  | 001FA000 | 00000200 | 73977DE6 | --- PSVN
 Padding             | Empty (FFh)           | 001FA200 | 00000E00 | 5448F443 | --- Padding
 FPT partition       | Data                  | 001FB000 | 00004000 | FCDB4618 | --- IVBP
 FPT partition       | Data                  | 001FF000 | 00064000 | 8AC581BF | --- MFS
 FPT partition       | Data                  | 00263000 | 00002000 | ED0EC7EA | --- UTOK
 FPT partition       | Data                  | 00265000 | 00002000 | BC7280D5 | --- FLOG
 FPT partition       | Data                  | 00267000 | 00010000 | 50B7E337 | --- EFS
 FPT partition       | Data                  | 00277000 | 00002000 | 7776540B | --- UEP
 IFWI partition      | Boot                  | 00279000 | 001F8000 | 9A84A313 | -- Boot partition
 BPDT store          |                       | 00279000 | 00000084 | 34E150BD | --- BPDT partition table
 BPDT entry          |                       | 00279018 | 0000000C | E67CFCFE | ---- Debug Launch Module
 BPDT entry          |                       | 00279024 | 0000000C | 91E22E0E | ---- IFP Bypass
 BPDT entry          |                       | 00279030 | 0000000C | E376B17F | ---- Secondary BPDT
 BPDT entry          |                       | 0027903C | 0000000C | E0708A00 | ---- ROM Boot Extensions
 BPDT entry          |                       | 00279048 | 0000000C | 7EDF8BEE | ---- UFS PHY Config
 BPDT entry          |                       | 00279054 | 0000000C | E57AC781 | ---- UFS GPP LUN
 BPDT entry          |                       | 00279060 | 0000000C | 74CB10EC | ---- OEM Key Manifest
 BPDT entry          |                       | 0027906C | 0000000C | 315BB9C1 | ---- Main
 BPDT entry          |                       | 00279078 | 0000000C | EA45C182 | ---- iUnit
 Padding             | Empty (FFh)           | 00279084 | 00000F7C | CA039763 | --- Padding
 BPDT partition      |                       | 0027A000 | 001ED000 | BBBD3A4B | --- Main | Main
 CPD store           |                       | 0027A000 | 00000164 | 4C7D9676 | ---- CPD partition table
 CPD entry           |                       | 0027A014 | 00000018 | 0D289E1E | ----- NFTP.man
 CPD entry           |                       | 0027A02C | 00000018 | 42FAE88B | ----- dal_ivm
 CPD entry           |                       | 0027A044 | 00000018 | C545A650 | ----- dal_lnch
 CPD entry           |                       | 0027A05C | 00000018 | 8F39F06C | ----- dal_sdm
 CPD entry           |                       | 0027A074 | 00000018 | AC4A6A3D | ----- adspa
 CPD entry           |                       | 0027A08C | 00000018 | 98944414 | ----- iunitcse
 CPD entry           |                       | 0027A0A4 | 00000018 | 5511348F | ----- pavp
 CPD entry           |                       | 0027A0BC | 00000018 | 044B4135 | ----- sigma
 CPD entry           |                       | 0027A0D4 | 00000018 | 4FE12E32 | ----- hotham
 CPD entry           |                       | 0027A0EC | 00000018 | 99BF38C0 | ----- ish_srv
 CPD entry           |                       | 0027A104 | 00000018 | 88E5039E | ----- mctp
 CPD entry           |                       | 0027A11C | 00000018 | CBEC07DC | ----- icc
 CPD entry           |                       | 0027A134 | 00000018 | 30C2CB19 | ----- tls_iso
 CPD entry           |                       | 0027A14C | 00000018 | 51735930 | ----- vdm
 CPD partition       | Manifest              | 0027A164 | 00000420 | 4AA27669 | ---- NFTP.man
 CPD extension       |                       | 0027A4E8 | 00000034 | BA08D8AF | ----- Signed Package Info
 CPD extension       |                       | 0027A51C | 00000068 | 5572B47A | ----- IFWI Partition Manifest
 Padding             | Empty (FFh)           | 0027A584 | 0000003C | F48CF14D | ---- Padding
 CPD partition       | Code                  | 0027A5C0 | 0004B100 | 5BC68060 | ---- dal_ivm
 CPD partition       | Code                  | 002C56C0 | 000026C0 | 3EDE5CD5 | ---- dal_lnch
 CPD partition       | Code                  | 002C7D80 | 00007600 | 1B4D2BCB | ---- dal_sdm
 CPD partition       | Code                  | 002CF380 | 00001640 | 10F5C54D | ---- adspa
 CPD partition       | Code                  | 002D09C0 | 00002D40 | 5696D160 | ---- iunitcse
 CPD partition       | Code                  | 002D3700 | 0002990B | 090F6DB8 | ---- pavp
 Padding             | Empty (FFh)           | 002FD00B | 00000035 | 33E718CE | ---- Padding
 CPD partition       | Code                  | 002FD040 | 00007080 | 18636A8B | ---- sigma
 CPD partition       | Code                  | 003040C0 | 00005100 | F964A913 | ---- hotham
 CPD partition       | Code                  | 003091C0 | 00006C80 | 70614931 | ---- ish_srv
 CPD partition       | Code                  | 0030FE40 | 00006740 | 87A238EA | ---- mctp
 CPD partition       | Code                  | 00316580 | 00003F80 | 78980126 | ---- icc
 CPD partition       | Code                  | 0031A500 | 00025E80 | CB19E571 | ---- tls_iso
 CPD partition       | Code                  | 00340380 | 00002000 | D63A8B83 | ---- vdm
 Padding             | Empty (FFh)           | 00342380 | 00124C80 | 98F6D2C3 | ---- Padding
 BPDT partition      |                       | 00467000 | 0000A000 | 823AE25F | --- iUnit | iUnit
 CPD store           |                       | 00467000 | 0000005C | 1260AFCA | ---- CPD partition table
 CPD entry           |                       | 00467014 | 00000018 | 0B3FE0F4 | ----- IUNP.man
 CPD entry           |                       | 0046702C | 00000018 | 0274C9D6 | ----- iunit.met
 CPD entry           |                       | 00467044 | 00000018 | 54E40E5E | ----- iunit
 CPD partition       | Manifest              | 0046705C | 00000464 | 5F73F3E3 | ---- IUNP.man
 CPD extension       |                       | 004673E0 | 00000078 | FC07F5B0 | ----- Signed Package Info
 CPD SPI entry       |                       | 004673E0 | 00000044 | CFFADBDE | ------ iunit.met
 CPD extension       |                       | 00467458 | 00000068 | F0E19B81 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 004674C0 | 00000070 | 19F2E691 | ---- iunit.met
 CPD extension       |                       | 004674C0 | 00000070 | 19F2E691 | ----- Anti-cloning SKU ID
 Padding             | Empty (FFh)           | 00467530 | 00000010 | 3FB3C61A | ---- Padding
 CPD partition       | Code                  | 00467540 | 00000F6C | D695C8D8 | ---- iunit
 Padding             | Empty (FFh)           | 004684AC | 00008B54 | 830EA8E4 | ---- Padding
 Padding             | Empty (FFh)           | 00471000 | 0008F000 | D2F1AECD | -- Padding
 Region              | BIOS                  | 00500000 | 00B00000 | EEC3C962 | - BIOS region
 Volume              | FFSv2                 | 00500000 | 00030000 | FDAD73BC | -- FA4974FC-AF1D-4E5D-BDC5-DACD6D27BAEC
 File                | Raw                   | 00500078 | 0002FF88 | 63DC9E0D | --- CEF5B9A3-476D-497F-9FDC-E98143E0422C | NVAR store
 NVAR entry          | Full                  | 00500090 | 00001DFD | 96D1A704 | ---- 4599D26F-1A11-49B8-B91F-858745CFF824 | StdDefaults
 NVAR entry          | Full                  | 005000A7 | 00000A46 | 9D5479C8 | ----- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | Setup
 NVAR entry          | Full                  | 00500AED | 0000001E | 94187FA9 | ----- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | PlatformLang
 NVAR entry          | Full                  | 00500B0B | 00000015 | F0B3B0A4 | ----- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | Timeout
 NVAR entry          | Full                  | 00500B20 | 00000068 | 8A157268 | ----- C811FA38-42C8-4579-A9BB-60E94EDDFB34 | AMITSESetup
 NVAR entry          | Full                  | 00500B88 | 000006E1 | 0352E621 | ----- 4570B7F1-ADE8-4943-8DC3-406472842384 | PchSetup
 NVAR entry          | Full                  | 00501269 | 00000048 | 2D8F4AA1 | ----- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetup
 NVAR entry          | Full                  | 005012B1 | 0000002B | DDC00AAC | ----- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetupStorage
 NVAR entry          | Full                  | 005012DC | 0000002B | 52375337 | ----- 64192DCA-D034-49D2-A6DE-65A829EB4C74 | IccAdvancedSetupDataVar
 NVAR entry          | Full                  | 00501307 | 0000001A | BCE236A2 | ----- AAF8E719-48F8-4099-A6F7-645FBD694C3D | SiSetup
